#name, A, B
NODE_0000000, 0.999996403563246, 3.596436753828054e-06
NODE_0000632, 0.9999999902447275, 9.755272358459467e-09
EPI_ISL_30713|181803|A/Missouri/02/2009|C1|2009-05-01, 1.0, 0.0
NODE_0000002, 0.9999995447670352, 4.5523296477482544e-07
EPI_ISL_31575|184373|A/Oklahoma/03/2009|C2|2009-05-01, 1.0, 0.0
EPI_ISL_31165|183139|A/Florida/09/2009|C1|2009-05-01, 1.0, 0.0
NODE_0000635, 0.999999999998236, 1.7640322793301498e-12
EPI_ISL_31563|184337|A/Delaware/06/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_31564|184340|A/Delaware/07/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_30173|179422|A/New_York/3099/2009||2009-04-29, 1.0, 0.0
NODE_0000024, 0.9999999995634528, 4.3654727547176237e-10
EPI_ISL_30105|179150|A/New_Jersey/02/2009|C1|2009-04-01, 0.9999999999999999, 0.0
NODE_0000005, 0.9999999995683763, 4.316237236827318e-10
NODE_0000007, 0.999999999998311, 1.6890731102858172e-12
EPI_ISL_30726|181833|A/Delaware/08/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_30498|180599|A/Delaware/05/2009|E2|2009-04-28, 1.0, 0.0
NODE_0000008, 0.9999999999919084, 8.091624333932387e-12
NODE_0000009, 0.9999999999971738, 2.826097985899919e-12
NODE_0000012, 0.9999999999996165, 3.8333351704521757e-13
EPI_ISL_30103|179144|A/New_Hampshire/02/2009|C1|2009-04-28, 1.0, 0.0
EPI_ISL_30134|179251|A/Delaware/04/2009|C1|2009-04-28, 1.0, 0.0
NODE_0000015, 0.9999999999996165, 3.8333351704521757e-13
EPI_ISL_30136|179510|A/District_of_Columbia/03/2009|C1|2009-04-27, 1.0, 0.0
EPI_ISL_30061|178984|A/New_York/1682/2009||2009-04-27, 1.0, 0.0
NODE_0000016, 0.9999999999971736, 2.826387042567341e-12
NODE_0000018, 0.9999999999996165, 3.8333352140369406e-13
EPI_ISL_30686|181677|A/New_York/3183/2009||2009-04-28, 1.0, 0.0
EPI_ISL_30099|179121|A/Delaware/03/2009|E1|2009-04-28, 1.0, 0.0
NODE_0000020, 0.9999999999970163, 2.9836179567717248e-12
EPI_ISL_30098|179118|A/Delaware/02/2009|E1|2009-04-28, 1.0, 0.0
NODE_0000022, 0.9999999999933765, 6.623405643416266e-12
EPI_ISL_30101|179134|A/Maryland/05/2009|C1|2009-04-29, 1.0, 0.0
NODE_0000023, 0.9999999999996166, 3.8339077390168013e-13
