#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI_ISL_31575|184373|A/Oklahoma/03/2009|C2|2009-05-01, 2009.33, 0.000359, -0.000715
EPI_ISL_30713|181803|A/Missouri/02/2009|C1|2009-05-01, 2009.33, 0.001526, 0.000452
EPI_ISL_31165|183139|A/Florida/09/2009|C1|2009-05-01, 2009.33, 0.000942, -0.000132
EPI_ISL_31564|184340|A/Delaware/07/2009|C1|2009-04-28, 2009.32, 0.001519, 0.000483
EPI_ISL_30134|179251|A/Delaware/04/2009|C1|2009-04-28, 2009.32, 0.000941, -0.000095
EPI_ISL_30726|181833|A/Delaware/08/2009|C1|2009-04-28, 2009.32, 0.000946, -0.000091
EPI_ISL_31563|184337|A/Delaware/06/2009|C1|2009-04-28, 2009.32, 0.001526, 0.000490
EPI_ISL_30498|180599|A/Delaware/05/2009|E2|2009-04-28, 2009.32, 0.000948, -0.000088
EPI_ISL_30173|179422|A/New_York/3099/2009||2009-04-29, 2009.33, 0.001528, 0.000455
EPI_ISL_30971|182769|A/New_York/3100/2009||2009-04-30, 2009.33, 0.000946, -0.000128
EPI_ISL_30061|178984|A/New_York/1682/2009||2009-04-27, 2009.32, 0.000946, -0.000091
EPI_ISL_30099|179121|A/Delaware/03/2009|E1|2009-04-28, 2009.32, 0.000946, -0.000091
EPI_ISL_30135|179509|A/District_of_Columbia/02/2009|C1|2009-04-29, 2009.33, 0.000946, -0.000128
EPI_ISL_30101|179134|A/Maryland/05/2009|C1|2009-04-29, 2009.33, 0.000946, -0.000128
EPI_ISL_30686|181677|A/New_York/3183/2009||2009-04-28, 2009.32, 0.000946, -0.000091
EPI_ISL_30105|179150|A/New_Jersey/02/2009|C1|2009-04-01, 2009.25, 0.000946, 0.000170
EPI_ISL_30136|179510|A/District_of_Columbia/03/2009|C1|2009-04-27, 2009.32, 0.000946, -0.000091
EPI_ISL_30103|179144|A/New_Hampshire/02/2009|C1|2009-04-28, 2009.32, 0.000946, -0.000091
EPI_ISL_30098|179118|A/Delaware/02/2009|E1|2009-04-28, 2009.32, 0.000946, -0.000091
EPI_ISL_30724|181829|A/Texas/10/2009|E2|2009-04-23, 2009.31, 0.000815, -0.000184
EPI_ISL_30717|181815|A/Texas/11/2009|E2|2009-04-23, 2009.31, 0.001394, 0.000395
EPI_ISL_29581|176515|A/Texas/05/2009|ORIGINAL|2009-04-15, 2009.29, 0.000819, -0.000106
EPI_ISL_29952|178375|A/Texas/09/2009|C1|2009-04-25, 2009.32, 0.000819, -0.000218
EPI_ISL_30510|180626|A/Texas/04/2009|X/E2|2009-04-14, 2009.28, 0.000823, -0.000065
EPI_ISL_30156|179320|A/Texas/08/2009|E2|2009-04-24, 2009.31, 0.000823, -0.000176
EPI_ISL_33939|190791|A/San_Antonio/PR922/2009|MDCK2|2009-04-15, 2009.29, 0.001404, 0.000479
EPI_ISL_33940|190799|A/San_Antonio/PR923/2009|MDCK2|2009-04-23, 2009.31, 0.003745, 0.002745
EPI_ISL_30114|179175|A/North_Carolina/05/2009|C1|2009-04-28, 2009.32, 0.001406, 0.000369
EPI_ISL_33938|190783|A/San_Antonio/PR921/2009|MDCK2|2009-04-14, 2009.28, 0.000819, -0.000069
EPI_ISL_29578|177302|A/Texas/04/2009|X|2009-04-14, 2009.28, 0.000819, -0.000069
EPI_ISL_30192|179568|A/Texas/12/2009|C2|2009-04-24, 2009.31, 0.000819, -0.000181
EPI_ISL_30117|179189|A/Texas/22/2009|C1|2009-04-26, 2009.32, 0.000819, -0.000218
EPI_ISL_29746|177424|A/Texas/06/2009|C1|2009-04-23, 2009.31, 0.000819, -0.000181
EPI_ISL_29960|178425|A/Kansas/02/2009|C1|2009-04-24, 2009.31, 0.000819, -0.000181
EPI_ISL_30506|180618|A/Oklahoma/01/2009|C1|2009-04-28, 2009.32, 0.000819, -0.000218
EPI_ISL_31200|221181|A/Texas/35/2009|C2|2009-05-08, 2009.35, 0.003144, 0.001996
EPI_ISL_63981|224421|A/Houston/20H/2009|harvest-Rh1|2009-05-23, 2009.39, 0.002564, 0.001267
EPI_ISL_63958|224200|A/Houston/20OS/2009||2009-05-23, 2009.39, 0.002564, 0.001267
EPI_ISL_63964|224248|A/Brownsville/27OS/2009||2009-05-20, 2009.38, 0.002564, 0.001305
EPI_ISL_63953|224160|A/Houston/14H/2009|harvest-Rh1|2009-05-01, 2009.33, 0.001982, 0.000908
EPI_ISL_29957|184325|A/Minnesota/02/2009|C1|2009-04-27, 2009.32, 0.001982, 0.000945
EPI_ISL_31199|183271|A/Texas/34/2009|C1|2009-05-12, 2009.36, 0.001982, 0.000797
EPI_ISL_30188|179530|A/Minnesota/03/2009|C1|2009-04-01, 2009.25, 0.001982, 0.001206
EPI_ISL_63952|224152|A/Houston/14OS/2009||2009-05-01, 2009.33, 0.001982, 0.000908
EPI_ISL_30709|181791|A/Texas/28/2009|C1|2009-04-29, 2009.33, 0.001984, 0.000910
EPI_ISL_29950|178363|A/Texas/07/2009|C1|2009-04-25, 2009.32, 0.002569, 0.001532
EPI_ISL_63938|224032|A/Houston/1H/2009|harvest-Rh1|2009-05-13, 2009.36, 0.003153, 0.001967
EPI_ISL_31196|189187|A/Texas/30/2009|C1|2009-05-05, 2009.34, 0.003734, 0.002623
EPI_ISL_31577|191975|A/Texas/29/2009|C1|2009-05-02, 2009.33, 0.002571, 0.001497
EPI_ISL_63968|224280|A/Brownsville/31H/2009|harvest-Rh1|2009-05-22, 2009.39, 0.002571, 0.001274
EPI_ISL_31572|184362|A/Texas/36/2009|C1|2009-04-29, 2009.33, 0.002571, 0.001497
EPI_ISL_63967|224272|A/Brownsville/31OS/2009||2009-05-22, 2009.39, 0.002571, 0.001274
EPI_ISL_30702|221053|A/Arizona/07/2009|C1|2009-05-07, 2009.35, 0.001399, 0.000250
EPI_ISL_80194|282895|A/Silver_Spring/WRAIRSP510P2/2009|MDCK2|2009-06-18, 2009.46, 0.004343, 0.002785
EPI_ISL_80196|282911|A/Silver_Spring/WRAIRSP510P3/2009|MDCK3|2009-06-18, 2009.46, 0.004338, 0.002781
EPI_ISL_60826|211491|A/Texas/47/2009|C1|2009-06-26, 2009.48, 0.001403, -0.000229
EPI_ISL_30711|181797|A/Louisiana/04/2009|C1|2009-04-30, 2009.33, 0.001405, 0.000332
