#name, A, B
NODE_0000000, 0.9949983037716752, 0.005001696228324857
NODE_0000475, 0.9999999981429007, 1.8570991381998823e-09
EPI_ISL_78829|277825|A/Ft_Carson/WR1449P/2009|MDCK2|2009-10-23, 1.0, 0.0
NODE_0000477, 0.9999948289282519, 5.171071748255481e-06
EPI_ISL_78820|277753|A/California/WR1323P/2009|MDCK2|2009-06-08, 1.0, 0.0
EPI_ISL_78827|277809|A/Ft_Carson/WR1446P/2009|MDCK2|2009-10-15, 1.0, 0.0
NODE_0000490, 0.9999928933319036, 7.106668096573095e-06
EPI_ISL_78856|278041|A/South_Carolina/WRSP520/2009|MDCK2|2009-09-05, 1.0, 0.0
EPI_ISL_78810|277673|A/California/WR1312P/2009|MDCK2|2009-08-08, 0.9999999999999999, 0.0
NODE_0000024, 0.9999996490108634, 3.5098913675127273e-07
NODE_0000485, 0.9999963973308565, 3.60266914337498e-06
EPI_ISL_78816|277721|A/California/WR1318P/2009|MDCK2|2009-08-10, 0.9999999999999999, 0.0
EPI_ISL_78814|277705|A/California/WR1316P/2009|MDCK2|2009-08-05, 1.0, 0.0
NODE_0000005, 0.9999997803059255, 2.1969407468674566e-07
NODE_0000480, 0.9999992326434142, 7.673565858874217e-07
EPI_ISL_78811|277681|A/California/WR1313P/2009|MDCK2|2009-07-08, 0.9999999999999999, 0.0
NODE_0000481, 0.999999903678752, 9.632124797530615e-08
EPI_ISL_78812|277689|A/California/WR1314P/2009|MDCK2|2009-08-05, 1.0, 0.0
EPI_ISL_78813|277697|A/California/WR1315P/2009|MDCK2|2009-08-05, 1.0, 0.0
NODE_0000008, 0.9999996605419642, 3.394580359373611e-07
EPI_ISL_78815|277713|A/California/WR1317P/2009|MDCK2|2009-08-10, 0.9999999999999999, 0.0
NODE_0000011, 0.9999998320146485, 1.679853515520739e-07
EPI_ISL_78817|277729|A/California/WR1319P/2009|MDCK2|2009-07-08, 1.0, 0.0
NODE_0000016, 0.9999999813104459, 1.8689554192235425e-08
EPI_ISL_78824|277785|A/South_Carolina/WR1326P/2009|MDCK2|2009-07-31, 0.9999999999999999, 0.0
NODE_0000018, 0.9999999987711864, 1.2288135111121788e-09
EPI_ISL_78818|277737|A/California/WR1320P/2009|MDCK2|2009-08-07, 0.9999999999999999, 0.0
NODE_0000021, 0.999999984784093, 1.521590707242287e-08
EPI_ISL_78819|277745|A/California/WR1321P/2009|MDCK2|2009-08-07, 1.0, 0.0
NODE_0000022, 0.9999999999678719, 3.212817235281919e-11
EPI_ISL_78822|277769|A/South_Carolina/WR1324P/2009|MDCK2|2009-08-01, 0.9999999999999999, 0.0
EPI_ISL_78823|277777|A/South_Carolina/WR1325P/2009|MDCK2|2009-07-31, 0.9999999999999999, 0.0
NODE_0000472, 0.9999989307901712, 1.0692098288206349e-06
NODE_0000471, 0.9999889131677023, 1.1086832297583878e-05
EPI_ISL_80194|282895|A/Silver_Spring/WRAIRSP510P2/2009|MDCK2|2009-06-18, 1.0, 0.0
