hu-strain,spillover_id,spillover_season,time_drifted,ha1_drift
EPI_ISL_71513|247850|A/Wisconsin/629-D00295/2009||2009-11-15,1,9-10,0.65292,0
EPI_ISL_65005|227716|A/Minnesota/15/2009|C1|2009-08-28,2,9-10,0.04,0
EPI_ISL_62564|218295|A/New_York/4844/2009||2009-09-06,3,9-10,0.05444,0
EPI_ISL_71308|247020|A/Wisconsin/629-D02041/2009||2009-09-09,3,9-10,0.05444,0
EPI_ISL_62272|216982|A/Minnesota/13/2009|C1|2009-09-17,3,9-10,0.05444,0
EPI_ISL_87614|308365|A/San_Diego/WRAIR1665P/2009|MDCK2|2009-09-23,3,9-10,0.05444,0
EPI_ISL_71514|247858|A/Wisconsin/629-D00346/2009||2009-09-23,3,9-10,0.05444,0
EPI_ISL_69019|240371|A/Minnesota/21/2009|C2|2009-09-25,3,9-10,0.05444,0
EPI_ISL_71523|247930|A/Wisconsin/629-D00629/2009||2009-11-26,3,9-10,0.05444,0
EPI_ISL_71505|247786|A/Wisconsin/629-D00050/2009||2009-11-27,3,9-10,0.05444,0
EPI_ISL_71548|248130|A/Wisconsin/629-D01346/2009||2009-11-05,3,9-10,0.05444,0
EPI_ISL_71529|247978|A/Wisconsin/629-D00802/2009||2009-11-07,3,9-10,0.05444,0
EPI_ISL_90956|320147|A/Tennessee/02/2011|C2|2011-03-08,4,10-11,0.41825,2
EPI_ISL_94670|330986|A/California/21/2011|C1|2011-03-13,5,10-11,0.49539999999999995,1
EPI_ISL_369626|1515575|A/New_York/WC-LVD-11-039/2011||2011-03-02,6,10-11,0.48954,1
EPI_ISL_329966|1311345|A/Iowa/33/2017|Original|2017-10-22,7,16-17,1.2074599999999998,5
EPI_ISL_224158|772163|A/Tennessee/19/2016|Original|2016-04-14,8,15-16,0.61538,0
EPI_ISL_224137|771995|A/Iowa/21/2016|Original|2016-05-14,8,15-16,0.61538,0
EPI_ISL_224137|771995|A/Iowa/21/2016|Original|2016-05-14,9,15-16,0.15667,0
EPI_ISL_381463|1565955|A/Michigan/288/2019|Original|2019-05-05,10,18-19,0.6645700000000001,2
EPI_ISL_359840|1462689|A/Wisconsin/371/2019|Original|2019-03-19,11,18-19,0.051000000000000004,0
EPI_ISL_349793|1408041|A/Missouri/16/2019|Original|2019-02-26,12,18-19,0.26473,0
EPI_ISL_4702772|1918841|A/North_Dakota/12226/2021|Original|2021-09-01,13,20-21,2.82713,4
EPI_ISL_7334894|1941466|A/Iowa/05/2021|Original|2021-09-19,14,20-21,2.8571299999999997,4
EPI_ISL_7334901|1941482|A/Iowa/06/2021|Original|2021-09-22,14,20-21,2.8571299999999997,4
EPI_ISL_339599|1361239|A/Nebraska/02/2019|Original|2019-01-07,15,18-19,0.22364,1
EPI_ISL_766961|1840354|A/Iowa/23/2020|Original|2020-09-30,16,19-20,0.77517,2
EPI_ISL_613417|1807517|A/Iowa/22/2020|Original|2020-09-24,16,19-20,0.77517,2
EPI_ISL_2519774|1869550|A/North_Carolina/01/2021|Original|2021-04-12,17,19-20,1.05664,3
EPI_ISL_1459510|1856091|A/Iowa/01/2021|Original|2021-02-24,18,20-21,1.4963899999999999,2
