hu-strain,spillover_id,spillover_season,time_drifted,ha1_drift
EPI_ISL_62564|218295|A/New_York/4844/2009||2009-09-06,1,9-10,0.02334,0
EPI_ISL_71308|247020|A/Wisconsin/629-D02041/2009||2009-09-09,1,9-10,0.02334,0
EPI_ISL_62272|216982|A/Minnesota/13/2009|C1|2009-09-17,1,9-10,0.02334,0
EPI_ISL_87614|308365|A/San_Diego/WRAIR1665P/2009|MDCK2|2009-09-23,1,9-10,0.02334,0
EPI_ISL_71514|247858|A/Wisconsin/629-D00346/2009||2009-09-23,1,9-10,0.02334,0
EPI_ISL_69019|240371|A/Minnesota/21/2009|C2|2009-09-25,1,9-10,0.02334,0
EPI_ISL_71505|247786|A/Wisconsin/629-D00050/2009||2009-11-27,1,9-10,0.02334,0
EPI_ISL_71523|247930|A/Wisconsin/629-D00629/2009||2009-11-26,1,9-10,0.02334,0
EPI_ISL_71529|247978|A/Wisconsin/629-D00802/2009||2009-11-07,1,9-10,0.02334,0
EPI_ISL_71548|248130|A/Wisconsin/629-D01346/2009||2009-11-05,1,9-10,0.02334,0
EPI_ISL_90956|320147|A/Tennessee/02/2011|C2|2011-03-08,2,10-11,0.41869,2
EPI_ISL_94670|330986|A/California/21/2011|C1|2011-03-13,3,10-11,0.49602,1
EPI_ISL_369626|1515575|A/New_York/WC-LVD-11-039/2011||2011-03-02,4,10-11,0.49017,1
EPI_ISL_329966|1311345|A/Iowa/33/2017|Original|2017-10-22,5,16-17,1.2064,5
EPI_ISL_224158|772163|A/Tennessee/19/2016|Original|2016-04-14,6,15-16,0.64541,0
EPI_ISL_224137|771995|A/Iowa/21/2016|Original|2016-05-14,6,15-16,0.64541,0
EPI_ISL_224137|771995|A/Iowa/21/2016|Original|2016-05-14,7,15-16,0.15648,0
EPI_ISL_381463|1565955|A/Michigan/288/2019|Original|2019-05-05,8,18-19,0.63149,2
EPI_ISL_359840|1462689|A/Wisconsin/371/2019|Original|2019-03-19,9,18-19,0.060000000000000005,0
EPI_ISL_349793|1408041|A/Missouri/16/2019|Original|2019-02-26,10,18-19,0.7457400000000001,0
EPI_ISL_4702772|1918841|A/North_Dakota/12226/2021|Original|2021-09-01,11,20-21,3.28187,4
EPI_ISL_7334901|1941482|A/Iowa/06/2021|Original|2021-09-22,12,20-21,3.3118699999999994,4
EPI_ISL_7334894|1941466|A/Iowa/05/2021|Original|2021-09-19,12,20-21,3.3118699999999994,4
EPI_ISL_339599|1361239|A/Nebraska/02/2019|Original|2019-01-07,13,18-19,0.22299,1
EPI_ISL_766961|1840354|A/Iowa/23/2020|Original|2020-09-30,14,19-20,0.77806,2
EPI_ISL_613417|1807517|A/Iowa/22/2020|Original|2020-09-24,14,19-20,0.77806,2
EPI_ISL_2519774|1869550|A/North_Carolina/01/2021|Original|2021-04-12,15,19-20,1.06462,3
EPI_ISL_1459510|1856091|A/Iowa/01/2021|Original|2021-02-24,16,20-21,1.50651,2
