hu-strain,spillover_id,spillover_season,time_drifted,ha1_drift
EPI_ISL_71513|247850|A/Wisconsin/629-D00295/2009||2009-11-15,1,9-10,0.65185,0
EPI_ISL_90956|320147|A/Tennessee/02/2011|C2|2011-03-08,2,10-11,0.4177,2
EPI_ISL_94670|330986|A/California/21/2011|C1|2011-03-13,3,10-11,0.49468,1
EPI_ISL_369626|1515575|A/New_York/WC-LVD-11-039/2011||2011-03-02,4,10-11,0.48882000000000003,1
EPI_ISL_329966|1311345|A/Iowa/33/2017|Original|2017-10-22,5,16-17,1.20822,5
EPI_ISL_224158|772163|A/Tennessee/19/2016|Original|2016-04-14,6,15-16,0.21233,0
EPI_ISL_224137|771995|A/Iowa/21/2016|Original|2016-05-14,6,15-16,0.21233,0
EPI_ISL_224137|771995|A/Iowa/21/2016|Original|2016-05-14,7,15-16,0.15596,0
EPI_ISL_381463|1565955|A/Michigan/288/2019|Original|2019-05-05,8,18-19,0.68776,2
EPI_ISL_359840|1462689|A/Wisconsin/371/2019|Original|2019-03-19,9,18-19,0.05108,0
EPI_ISL_349793|1408041|A/Missouri/16/2019|Original|2019-02-26,10,18-19,0.29575,0
EPI_ISL_4702772|1918841|A/North_Dakota/12226/2021|Original|2021-09-01,11,20-21,2.82719,4
EPI_ISL_7334894|1941466|A/Iowa/05/2021|Original|2021-09-19,12,20-21,2.8571899999999997,4
EPI_ISL_7334901|1941482|A/Iowa/06/2021|Original|2021-09-22,12,20-21,2.8571899999999997,4
EPI_ISL_339599|1361239|A/Nebraska/02/2019|Original|2019-01-07,13,18-19,0.22303,1
EPI_ISL_766961|1840354|A/Iowa/23/2020|Original|2020-09-30,14,19-20,0.6244000000000001,1
EPI_ISL_613417|1807517|A/Iowa/22/2020|Original|2020-09-24,14,19-20,0.6244000000000001,1
EPI_ISL_2519774|1869550|A/North_Carolina/01/2021|Original|2021-04-12,15,19-20,1.13757,3
EPI_ISL_1459510|1856091|A/Iowa/01/2021|Original|2021-02-24,16,20-21,1.59665,2
