#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI_ISL_31165|183139|A/Florida/09/2009|C1|2009-05-01, 2009.33, 0.000923, -0.000142
EPI_ISL_31575|184373|A/Oklahoma/03/2009|C2|2009-05-01, 2009.33, 0.000345, -0.000720
EPI_ISL_30713|181803|A/Missouri/02/2009|C1|2009-05-01, 2009.33, 0.001512, 0.000447
EPI_ISL_30173|179422|A/New_York/3099/2009||2009-04-29, 2009.33, 0.001510, 0.000445
EPI_ISL_31564|184340|A/Delaware/07/2009|C1|2009-04-28, 2009.32, 0.001515, 0.000487
EPI_ISL_31563|184337|A/Delaware/06/2009|C1|2009-04-28, 2009.32, 0.001515, 0.000487
EPI_ISL_30498|180599|A/Delaware/05/2009|E2|2009-04-28, 2009.32, 0.000935, -0.000093
EPI_ISL_30134|179251|A/Delaware/04/2009|C1|2009-04-28, 2009.32, 0.000937, -0.000091
EPI_ISL_30726|181833|A/Delaware/08/2009|C1|2009-04-28, 2009.32, 0.000940, -0.000088
EPI_ISL_30971|182769|A/New_York/3100/2009||2009-04-30, 2009.33, 0.000940, -0.000126
EPI_ISL_30103|179144|A/New_Hampshire/02/2009|C1|2009-04-28, 2009.32, 0.000940, -0.000088
EPI_ISL_30135|179509|A/District_of_Columbia/02/2009|C1|2009-04-29, 2009.33, 0.000940, -0.000126
EPI_ISL_30101|179134|A/Maryland/05/2009|C1|2009-04-29, 2009.33, 0.000940, -0.000126
EPI_ISL_30061|178984|A/New_York/1682/2009||2009-04-27, 2009.32, 0.000940, -0.000088
EPI_ISL_30098|179118|A/Delaware/02/2009|E1|2009-04-28, 2009.32, 0.000940, -0.000088
EPI_ISL_30136|179510|A/District_of_Columbia/03/2009|C1|2009-04-27, 2009.32, 0.000940, -0.000088
EPI_ISL_30099|179121|A/Delaware/03/2009|E1|2009-04-28, 2009.32, 0.000940, -0.000088
EPI_ISL_30686|181677|A/New_York/3183/2009||2009-04-28, 2009.32, 0.000940, -0.000088
EPI_ISL_30105|179150|A/New_Jersey/02/2009|C1|2009-04-01, 2009.25, 0.000940, 0.000175
EPI_ISL_33940|190799|A/San_Antonio/PR923/2009|MDCK2|2009-04-23, 2009.31, 0.003751, 0.002760
EPI_ISL_30510|180626|A/Texas/04/2009|X/E2|2009-04-14, 2009.28, 0.000832, -0.000045
EPI_ISL_30717|181815|A/Texas/11/2009|E2|2009-04-23, 2009.31, 0.001411, 0.000421
EPI_ISL_29952|178375|A/Texas/09/2009|C1|2009-04-25, 2009.32, 0.000831, -0.000197
EPI_ISL_29581|176515|A/Texas/05/2009|ORIGINAL|2009-04-15, 2009.29, 0.000833, -0.000082
EPI_ISL_30156|179320|A/Texas/08/2009|E2|2009-04-24, 2009.31, 0.000838, -0.000152
EPI_ISL_30724|181829|A/Texas/10/2009|E2|2009-04-23, 2009.31, 0.000840, -0.000150
EPI_ISL_33939|190791|A/San_Antonio/PR922/2009|MDCK2|2009-04-15, 2009.29, 0.001423, 0.000509
EPI_ISL_30114|179175|A/North_Carolina/05/2009|C1|2009-04-28, 2009.32, 0.001423, 0.000395
EPI_ISL_33938|190783|A/San_Antonio/PR921/2009|MDCK2|2009-04-14, 2009.28, 0.000836, -0.000042
