#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI_ISL_78817|277729|A/California/WR1319P/2009|MDCK2|2009-07-08, 2009.52, 0.004185, -0.000571
EPI_ISL_78820|277753|A/California/WR1323P/2009|MDCK2|2009-06-08, 2009.43, 0.005354, 0.000930
EPI_ISL_78827|277809|A/Ft_Carson/WR1446P/2009|MDCK2|2009-10-15, 2009.78, 0.006527, 0.000811
EPI_ISL_78829|277825|A/Ft_Carson/WR1449P/2009|MDCK2|2009-10-23, 2009.8, 0.006531, 0.000741
EPI_ISL_78811|277681|A/California/WR1313P/2009|MDCK2|2009-07-08, 2009.52, 0.004194, -0.000562
EPI_ISL_78812|277689|A/California/WR1314P/2009|MDCK2|2009-08-05, 2009.59, 0.005359, 0.000344
EPI_ISL_78813|277697|A/California/WR1315P/2009|MDCK2|2009-08-05, 2009.59, 0.005940, 0.000925
EPI_ISL_78823|277777|A/South_Carolina/WR1325P/2009|MDCK2|2009-07-31, 2009.58, 0.003614, -0.001364
EPI_ISL_78818|277737|A/California/WR1320P/2009|MDCK2|2009-08-07, 2009.59, 0.004197, -0.000818
EPI_ISL_78816|277721|A/California/WR1318P/2009|MDCK2|2009-08-10, 2009.6, 0.005949, 0.000897
EPI_ISL_78814|277705|A/California/WR1316P/2009|MDCK2|2009-08-05, 2009.59, 0.004780, -0.000234
EPI_ISL_78822|277769|A/South_Carolina/WR1324P/2009|MDCK2|2009-08-01, 2009.58, 0.003614, -0.001364
EPI_ISL_78815|277713|A/California/WR1317P/2009|MDCK2|2009-08-10, 2009.6, 0.004781, -0.000271
EPI_ISL_78824|277785|A/South_Carolina/WR1326P/2009|MDCK2|2009-07-31, 2009.58, 0.004199, -0.000779
EPI_ISL_78819|277745|A/California/WR1321P/2009|MDCK2|2009-08-07, 2009.59, 0.004199, -0.000816
EPI_ISL_78856|278041|A/South_Carolina/WRSP520/2009|MDCK2|2009-09-05, 2009.67, 0.007123, 0.001813
EPI_ISL_78810|277673|A/California/WR1312P/2009|MDCK2|2009-08-08, 2009.6, 0.005370, 0.000318
EPI_ISL_80191|282871|A/Silver_Spring/WRAIRSP510P10/2009|MDCK10|2009-06-18, 2009.46, 0.004622, 0.000087
EPI_ISL_80192|282879|A/Silver_Spring/WRAIRSP510P12/2009|MDCK12|2009-06-18, 2009.46, 0.004622, 0.000087
EPI_ISL_80195|282903|A/Silver_Spring/WRAIRSP510P20/2009|MDCK20|2009-06-18, 2009.46, 0.004622, 0.000087
EPI_ISL_80194|282895|A/Silver_Spring/WRAIRSP510P2/2009|MDCK2|2009-06-18, 2009.46, 0.005795, 0.001260
EPI_ISL_80196|282911|A/Silver_Spring/WRAIRSP510P3/2009|MDCK3|2009-06-18, 2009.46, 0.005790, 0.001255
EPI_ISL_89031|313322|A/Texas/45034240/2009||2009-09-03, 2009.67, 0.008067, 0.002757
EPI_ISL_65006|227723|A/Minnesota/16/2009|C1|2009-08-28, 2009.65, 0.005517, 0.000281
EPI_ISL_61572|214450|A/Wisconsin/629-D01305/2009|MDCK1|2009-05-13, 2009.36, 0.004942, 0.000776
EPI_ISL_68138|237374|A/Wisconsin/629-D00589/2009|P0|2009-06-03, 2009.42, 0.006688, 0.002301
EPI_ISL_62654|218802|A/Wisconsin/629-D01262/2009|P0|2009-05-28, 2009.41, 0.006110, 0.001760
EPI_ISL_62638|218674|A/Wisconsin/629-D00579/2009|P0|2009-06-08, 2009.43, 0.006110, 0.001686
EPI_ISL_61608|214738|A/Wisconsin/629-D02227/2009|MDCK1|2009-05-16, 2009.37, 0.005529, 0.001327
EPI_ISL_62659|218842|A/Wisconsin/629-D01618/2009|P0|2009-06-13, 2009.45, 0.005529, 0.001031
EPI_ISL_61565|214394|A/Wisconsin/629-D01055/2009|MDCK1|2009-05-09, 2009.35, 0.005529, 0.001400
EPI_ISL_61567|214410|A/Wisconsin/629-D01092/2009||2009-05-03, 2009.34, 0.005529, 0.001437
EPI_ISL_29950|178363|A/Texas/07/2009|C1|2009-04-25, 2009.32, 0.006685, 0.002667
EPI_ISL_63953|224160|A/Houston/14H/2009|harvest-Rh1|2009-05-01, 2009.33, 0.006107, 0.002052
EPI_ISL_30188|179530|A/Minnesota/03/2009|C1|2009-04-01, 2009.25, 0.006107, 0.002347
EPI_ISL_29957|184325|A/Minnesota/02/2009|C1|2009-04-27, 2009.32, 0.006107, 0.002089
EPI_ISL_63952|224152|A/Houston/14OS/2009||2009-05-01, 2009.33, 0.006107, 0.002052
EPI_ISL_31199|183271|A/Texas/34/2009|C1|2009-05-12, 2009.36, 0.006107, 0.001941
EPI_ISL_30709|181791|A/Texas/28/2009|C1|2009-04-29, 2009.33, 0.006109, 0.002054
EPI_ISL_63938|224032|A/Houston/1H/2009|harvest-Rh1|2009-05-13, 2009.36, 0.007277, 0.003111
EPI_ISL_31200|221181|A/Texas/35/2009|C2|2009-05-08, 2009.35, 0.007279, 0.003150
EPI_ISL_63981|224421|A/Houston/20H/2009|harvest-Rh1|2009-05-23, 2009.39, 0.006699, 0.002422
EPI_ISL_63958|224200|A/Houston/20OS/2009||2009-05-23, 2009.39, 0.006699, 0.002422
EPI_ISL_63964|224248|A/Brownsville/27OS/2009||2009-05-20, 2009.38, 0.006699, 0.002459
EPI_ISL_31196|189187|A/Texas/30/2009|C1|2009-05-05, 2009.34, 0.007859, 0.003767
EPI_ISL_31577|191975|A/Texas/29/2009|C1|2009-05-02, 2009.33, 0.006696, 0.002641
EPI_ISL_63968|224280|A/Brownsville/31H/2009|harvest-Rh1|2009-05-22, 2009.39, 0.006696, 0.002420
EPI_ISL_31572|184362|A/Texas/36/2009|C1|2009-04-29, 2009.33, 0.006696, 0.002641
EPI_ISL_63967|224272|A/Brownsville/31OS/2009||2009-05-22, 2009.39, 0.006696, 0.002420
EPI_ISL_62627|218586|A/Wisconsin/629-D00117/2009||2009-05-28, 2009.41, 0.004942, 0.000591
EPI_ISL_62662|218866|A/Wisconsin/629-D01725/2009|P0|2009-06-01, 2009.41, 0.004942, 0.000591
EPI_ISL_32027|185427|A/Tennessee/07/2009|C2|2009-04-30, 2009.33, 0.005527, 0.001471
EPI_ISL_60811|211459|A/Mississippi/01/2009|C1|2009-05-13, 2009.36, 0.006692, 0.002526
EPI_ISL_87601|308261|A/San_Diego/WRAIR1648P/2009|MDCK2|2009-04-28, 2009.32, 0.005529, 0.001510
EPI_ISL_34537|191935|A/Washington/28/2009|X|2009-07-14, 2009.53, 0.005529, 0.000736
